iteration,d_loss,g_adversarial_loss,reconstruction_loss
1,0.6886284947395325,0.6772966384887695,0.2406623512506485
200,0.5124856233596802,0.22609125077724457,0.0028513416182249784
400,0.5152103304862976,0.2235269397497177,0.0026004991959780455
600,0.5028458833694458,0.2248355597257614,0.002621391788125038
800,0.5348139405250549,0.24703368544578552,0.002400138881057501
1000,0.5219038724899292,0.21664828062057495,0.002923297928646207
1200,0.49484962224960327,0.2331891506910324,0.0028399773873388767
1400,0.5568968057632446,0.22805729508399963,0.0026573901996016502
1600,0.5060637593269348,0.22308658063411713,0.0022274234797805548
1800,0.5477137565612793,0.21676141023635864,0.0024884853046387434
2000,0.4809703528881073,0.22764310240745544,0.0019054990261793137
