iteration,d_loss,g_adversarial_loss,reconstruction_loss
1,0.6898735761642456,0.1387418806552887,0.2406623512506485
200,0.47834813594818115,0.051734764128923416,0.0028523269575089216
400,0.4045793116092682,0.08217231184244156,0.002601230051368475
600,0.35147038102149963,0.12605668604373932,0.00262243184261024
800,0.32422691583633423,0.14846171438694,0.0024005563464015722
1000,0.2893872857093811,0.1850183755159378,0.002924935659393668
1200,0.28414252400398254,0.19590413570404053,0.002839296357706189
1400,0.2698368728160858,0.19277532398700714,0.0026568269822746515
1600,0.2716878652572632,0.2028856724500656,0.0022161570377647877
1800,0.2623518109321594,0.21903613209724426,0.0024490428622812033
2000,0.2595185935497284,0.2281702160835266,0.0018525460036471486
